                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.4477,                 4.8255,                 1.9286,                0.30042,                 0.4101,                0.31446,                0.14288,                 2.1155,                 4.9539,                 1.6973,             0.00011817,             0.00011817,             0.00011817
                      2,                 1.8247,                  2.448,                 1.4182,                0.63808,                0.63969,                0.67175,                0.35804,                 1.6303,                 3.2813,                 1.4307,             0.00023571,             0.00023571,             0.00023571
                      3,                 1.6468,                 1.7132,                 1.3464,                0.75476,                0.78367,                  0.836,                0.46966,                 1.5519,                 2.1901,                 1.3652,             0.00034317,             0.00034317,             0.00034317
                      4,                 1.5631,                 1.4756,                 1.3215,                0.89495,                0.83438,                0.91163,                0.53173,                 1.4393,                 2.0457,                 1.3699,             0.00044056,             0.00044056,             0.00044056
                      5,                 1.5238,                 1.3395,                 1.3085,                 0.8899,                0.87119,                0.93872,                0.55848,                  1.448,                 1.3671,                 1.3683,             0.00052786,             0.00052786,             0.00052786
                      6,                  1.419,                 1.0804,                  1.217,                0.86568,                0.83261,                 0.8856,                0.52108,                 1.4843,                 1.2523,                  1.382,             0.00060508,             0.00060508,             0.00060508
                      7,                 1.4408,                 1.0883,                 1.2663,                0.87347,                0.91503,                0.92949,                0.53754,                 1.4834,                 1.1688,                 1.4181,             0.00067223,             0.00067223,             0.00067223
                      8,                 1.3915,                   1.05,                 1.2208,                0.91651,                0.86318,                0.92765,                 0.5627,                  1.443,                 1.0974,                 1.3892,             0.00065703,             0.00065703,             0.00065703
                      9,                 1.3715,                   1.04,                 1.2505,                0.93872,                0.91876,                0.94033,                0.55672,                 1.4126,                0.95455,                 1.3481,             0.00062103,             0.00062103,             0.00062103
                     10,                 1.3539,                0.98227,                 1.2219,                0.96356,                0.90525,                0.93961,                0.56841,                 1.4308,                0.93975,                 1.3837,             0.00058503,             0.00058503,             0.00058503
                     11,                 1.3807,                0.91452,                 1.2142,                0.95216,                0.92299,                0.94535,                  0.594,                 1.3262,                0.86405,                 1.3319,             0.00054904,             0.00054904,             0.00054904
                     12,                 1.3094,                0.88312,                  1.204,                0.91837,                0.93382,                0.93589,                0.59209,                 1.3008,                0.86097,                 1.3059,             0.00051304,             0.00051304,             0.00051304
                     13,                  1.227,                0.83305,                 1.1503,                0.93518,                0.93591,                0.93556,                0.58706,                 1.3535,                 0.8507,                 1.3288,             0.00047704,             0.00047704,             0.00047704
                     14,                 1.2224,                0.80074,                 1.1636,                0.94299,                0.94644,                0.94402,                0.56413,                 1.3864,                0.82504,                 1.3596,             0.00044105,             0.00044105,             0.00044105
                     15,                 1.2454,                0.79518,                 1.1516,                0.95708,                 0.9369,                0.94837,                0.57875,                 1.3926,                0.78186,                 1.3516,             0.00040505,             0.00040505,             0.00040505
                     16,                 1.1889,                0.74892,                 1.2057,                0.95431,                0.91755,                0.94965,                0.59417,                 1.3913,                0.78158,                  1.341,             0.00036905,             0.00036905,             0.00036905
                     17,                 1.0915,                0.64772,                 1.1862,                0.96721,                0.91987,                0.94897,                0.58205,                 1.4269,                0.77851,                 1.3701,             0.00033306,             0.00033306,             0.00033306
                     18,                 1.1202,                0.67456,                 1.2008,                0.95423,                0.92523,                0.94709,                0.59348,                 1.3539,                0.75447,                 1.3099,             0.00029706,             0.00029706,             0.00029706
                     19,                 1.0443,                0.63407,                 1.1728,                 0.9616,                0.93489,                0.94652,                0.59834,                 1.3184,                0.73002,                 1.2968,             0.00026106,             0.00026106,             0.00026106
                     20,                 1.0668,                0.61097,                 1.1464,                 0.9736,                0.92487,                0.94747,                0.59532,                 1.3287,                0.74377,                 1.3049,             0.00022507,             0.00022507,             0.00022507
                     21,                 1.0223,                0.60785,                 1.1125,                0.96391,                0.93244,                0.94972,                0.59695,                 1.3115,                0.73109,                  1.297,             0.00018907,             0.00018907,             0.00018907
                     22,                 1.0483,                0.59876,                 1.1683,                0.96233,                0.93141,                0.95005,                0.60103,                 1.3006,                0.71229,                 1.2966,             0.00015308,             0.00015308,             0.00015308
                     23,                 1.0137,                0.60094,                  1.126,                0.94475,                0.92733,                0.94205,                0.59846,                  1.312,                0.72075,                 1.3047,             0.00011708,             0.00011708,             0.00011708
                     24,                 1.0385,                0.56748,                 1.1545,                0.94456,                0.92982,                0.93992,                0.59815,                 1.3176,                0.71732,                 1.3108,             8.1083e-05,             8.1083e-05,             8.1083e-05
                     25,                 1.0043,                0.54857,                  1.102,                0.97054,                 0.9305,                0.94806,                0.59847,                 1.3098,                0.70718,                  1.306,             4.5086e-05,             4.5086e-05,             4.5086e-05
